Country,Topic,Learners' Prof.,Editor,Tokens,A (Added),D (Deleted),A+D,Tokens.1,Content (/12),Organization (/12),Vocabulary (/12),Language Use (/12),Mechanics (/12),Total 1 (%),Total 2 (Weighted %),Code,Sex,Age,Grade/Degree,Major,Acad. Genre,Prof. Test,Score,Vocab Size Test,CEFR,INTM,INSM,INTM+INSM,INTM-INSM,Primary,Secondary,College,Inschool,Outschool,Listening,Reading,Speaking,Writing,NS,Pronunciation,Presentation,EssayW,essay
THA,PTJ,A2_0,MH,225,47,33,80,291,8,7,7,6,8,60.0,56.7,W_THA_013,F,19,1.0,English,Humanities,ONET,48,22,A2_0,4.83,5.0,9.83,-0.17,3.5,3.0,4.25,3.56,3.67,4.25,3.75,3.0,3.5,5.0,5.0,4.0,4.0,"All students at university must use a lot of money because life at university is different from high school. We have many new things to pay for such as a lot of books for use when learning. Therefore we should have a part-time job because students like us must pay a lot of money not only to buy books but also we use money to buy clothes, travel with friends, and use for entertaining things. All students think having a part-time job is very interesting because we can have our own money and a part-time job can help us manage time and not waste time in the dormitory playing games or chatting online and sleeping in bed. If we have a part-time job at university I think it can help us for our future careers because we can manage time and service. A part-time job is very important for all students but it can damage us if we cannot manage time for both studying and a job. So if we want to have a part-time job we should make sure that we can manage time for studying and for our job and not fail at both. I do not disagree with having a part-time job but students should know what is beneficial or necessary for them to do."
THA,PTJ,A2_0,MH,222,50,42,92,207,5,4,5,3,5,36.7,34.6,W_THA_014,F,19,2.0,Tourism,Social Sciences,ONET,51,21,A2_0,5.17,4.33,9.5,0.84,6.0,4.38,4.5,4.67,4.56,4.75,4.5,4.75,3.75,4.0,4.0,3.0,3.0,"If students work part time, they should work a random schedule and not work illegally. It also is a good time to benefit because most students may not be as well off. It depends on money at home and working part time is part of helping alleviate the burden from home and training to recognize their responsibility. Money is for saving and some students of China want to be different and buy things not just with money at home, and some students merely sleep in rooms. I think finding jobs at department stores or facilities gives them time to practice the benefits of their own saving in a time of need. Working part time, we will more or less know the responsibility of having to work, but a student must see if work done manually is appropriate or not. If work is not appropriate to them it will result in bad or abusive work. Part time jobs that are both heavy and light have both advantages and disadvantages, and if a student is interested in part time work, too much may result in lessons. Working part time, because most of the work is very late, results in no time to read books and rest. Therefore, it is necessary for students to work part time if students know the best time to divide."
THA,PTJ,B1_2,MH,239,38,29,67,302,6,5,5,3,6,41.7,39.2,W_THA_015,F,19,1.0,Biomedical Engineering,Life Sciences,ONET,27.14,45,B1_2,4.5,5.5,10.0,-1.0,3.0,3.5,4.25,4.11,3.44,3.75,4.0,3.5,4.25,4.0,3.0,3.0,3.0,"There are a variety of part time jobs currently. Students can generate income for themselves. It also helps alleviate the financial burdens of the family and working part time helps with work experience. Students recognize the patience needed to work. They meet people in society from many backgrounds. At present, many students are working alongside university. Students have to have the patience and diligence for working and studying. Some students may agree that a part time job is necessary for life but somehow it's optional to choose. There are many reasons for having a part time job such as earning money, gaining experiences, or expanding networking. Some part time jobs pay a lot of money to students while some jobs paying very little. Personally, I think having a part time job depends on personal reasons. If I have more time and I want to buy something expensive, I may look for a part time job so that I can buy that thing by myself. Having a part time job while studying is not popular in Thailand. We are supported by our families and they always state that we should focus on studying only. This is why we are different from other countries, where the families teach the students to have a part time job so that they can stand on their own feet. In conclusion, I agree with having a part time job if it's necessary to do so."
THA,PTJ,A2_0,MH,219,43,17,60,300,7,6,7,5,6,51.7,50.0,W_THA_016,F,20,2.0,Policy,Social Sciences,ONET,55,21,A2_0,5.0,4.5,9.5,0.5,3.0,4.0,4.5,4.33,3.89,4.25,4.25,4.25,4.25,3.0,5.0,5.0,4.0,"I agree with part-time work because of the beneficial use of leisure time. I can have the money to spend on things other than studying. There are many places to work, such as restaurants, convenience stores, shopping malls, and dress stores. Going to work after school is better than going to a party with friends. Having parties with friends, we spend too much money. I cannot save money unless I go to work. We can have money to save. Our fathers and mothers will be happy if we can get money by ourselves. When I spend money that I have from work, I feel happy because it is my money. The money that my father and mother give to me I save and use to pay for studying. Work also helps me to be strong and adult. I know what to decide when I have problems at work. I know how to talk to bosses, friends, and buyers. I try to make everyone happy. When I am at home, I do reports and homework. I will read books because I know I do not have too much time to read books but I try to do my best. It is very good to work when I am a university student. I can feel like I am growing up."
THA,PTJ,B1_1,MH,223,37,31,68,265,8,7,7,7,8,61.7,58.3,W_THA_017,M,19,1.0,English,Humanities,ONET,38.57,27,B1_1,4.33,4.33,8.66,0.0,5.0,3.0,5.0,4.67,3.56,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,"It is important for college students to have a part-time job. When we talk about part-time jobs, I usually think about the jobs on the internet that are not safe in things such as employers, tasks, or processing of work and money. I think this because when working  a part-time job we doesn't know the employer. However, a part-time job doesn't only mean a job on the internet but it means any job from anywhere. I think that a part-time job is important to many people while it is also not important to many people. In the case of college students I think it is not important to have a part-time job because we have pocket money from our parents. Therefore, it not necessary to have a part-time job, but I don't mean that a part-time job is not good. I think that it is very necessary for many college students also because we must not forget that most college students are poor. Therefore, they need to have a part-time job to get more money to pay for daily life, and it is very necessary for them. In conclusion, I think it depends on how necessary it is to work a part-time job, and that it is a very personal thing to do."
THA,PTJ,B1_1,MH,241,29,26,55,303,9,9,9,8,8,71.7,69.2,W_THA_018,M,18,1.0,Engineering,Sciences & Technology,ONET,55.71,32,B1_1,4.67,2.33,7.0,2.34,3.0,3.38,4.0,3.78,3.44,3.5,5.0,2.5,3.75,3.0,3.0,3.0,3.0,"Why do many college students decide to have a part-time job although they could only learn and use their free time to rest? Some students must work a part-time job because of their family's finances, while others work a part-time job because they want to. Personally, I think it's important for college students to have a part-time job. First of all, the students that have a part-time job can get some money to share in the work of their family and they can develop many important skills to become a good worker, such as responsibility, punctuality, and self-command. They also learn how to work with other people and gain much experience from older workers. Most importantly, when college students graduate and want to find a job, the students who had a part-time job in the past are more interesting than the others who did not. Especially, for the students that had many part-time jobs for many years, it's proof of their diligence. However, some students who have part-time jobs brush away learning on campus. They must remember that the reason why they are students is to learn to find good work in the future. In my opinion, I don't think that having a part-time job while learning makes any problems if they use their time wisely. In conclusion, I think that a part-time job is the first step to success."
THA,PTJ,B1_2,MH,235,45,43,88,238,8,7,7,7,7,60.0,57.9,W_THA_019,M,18,1.0,Production Engineering,Sciences & Technology,ONET,50,37,B1_2,4.33,5.0,9.33,-0.67,2.5,2.75,3.13,3.44,2.33,3.25,3.25,2.5,2.75,5.0,5.0,3.0,3.0,"In the present, most people who have a part-time job are not always workers but can be someone who has not graduated yet, often a high school student or college student. In my opinion, I think there are two ways to think about whether it is important or not for college students to have a part-time job. First, I think that college students should intend to study. Second, if we look at another side, we will see that a part-time job is good for some students who have less money. Nowadays, in college, they usually finish class early and they do not have to study all day like students in high school. Therefore, it is easy if they want to get a part-time job, and I think it is a good idea for college students to have part-time jobs because they can get lessons from outside the classroom. This is sometimes better than just sitting and studying in school or college, and they can also get life experience. Finally, I think part-time jobs might teach them many things. For example, it can help them to manage time in daily life, train themselves to have responsibility, always be on time, spend free time usefully, help with their expenses, learn how to use and keep money and lastly, and help their thinking process or how to fix a problem they face."
THA,PTJ,B1_1,MH,225,50,45,95,206,6,6,6,6,7,51.7,47.9,W_THA_020,F,19,1.0,Mechanical Engineering,Sciences & Technology,ONET,61,34,B1_1,4.17,4.83,9.0,-0.66,4.5,4.0,4.38,4.67,3.78,3.75,3.25,4.0,5.75,5.0,5.0,5.0,5.0,"In college, there are many activities to do such as learning subjects, doing research, making appointments, taking tests and quizzes, reading papers, etc. The college student should do activities in college because they will help the students learn, play, and work together appropriately. Some departments of the student's college are hard to graduate from and get good grades. This is because the student may spend much time or share time when they are not at college, such as weekends, holidays, long holidays, Sundays, etc. They might divide time properly and spend time together with other people such as friends, teachers, or in other places. In my opinion, having a part-time job in Thailand is not important for every college student. The students should do main tasks and there are many activities to do in the student's life before having a part-time job. If you have some free time, you may do a part-time job. I think just doing activities in the student's department and college is enough for the college student so it is not necessary to have a part-time job as a college student. A part-time job can be done anytime but tasks and activities in college may only be done once or at a certain time. Part-time work may make you waste your effective progress in college."
THA,PTJ,B1_1,MH,223,33,21,54,202,6,7,7,6,8,56.7,51.7,W_THA_021,F,18,1.0,English,Humanities,ONET,41,25,B1_1,5.5,5.0,10.5,0.5,1.0,1.0,4.5,2.78,2.33,3.0,3.25,2.0,2.75,5.0,5.0,5.0,5.0,"If we do a part time job, of course, we will have a good experience and we will get income by ourselves. A part time job is a good thing to do during free time especially as college students because they have more free time and freedom to do anything that they want. In my opinion, a part time job is a good thing to do and I think it is important for college students because they have much free time to do that and it will be a good experience for them. Though there are many activities to do at their universities and each activity will give them good experience, it is not enough if they have problems with money, so if they want to get more income a part time job is very important for people in this group. I have another reason that supports my opinion that a part time job is important for college students. It is that we can help our parents by reducing what they pay if we have income from a part time job. A part time job is maybe not important for someone who is very rich but it is a good chance to make new experiences, and if you do it and get income by yourself, that will make you so proud of yourself."
THA,PTJ,A2_0,MH,191,35,28,63,229,5,5,4,3,6,38.3,35.0,W_THA_023,F,18,1.0,Chemistry,Sciences & Technology,ONET,20,22,A2_0,5.67,5.67,11.34,0.0,4.5,5.5,5.25,5.56,5.0,5.5,5.5,5.5,5.0,5.0,5.0,5.0,6.0,"Studying and working part-time are activities that most students like to do together. Students have time out of the classroom to read, play sports, games, shop, and relax. Most students who work need money. What people want is to collect money to buy equipment, jewelry, clothing, sports stuff, phones, portable computers, wool caps, or tennis shoes. Helping students to work for compensation will enable students to think for hours and hours depending on how much they work or how easy or difficult it is. Therefore, students need to have a part-time job to meet demands. They can make money by themselves and for the experience of working with students in higher education. Before, students were responsible for only to having a quality personality in school. So many people look at college as an opportunity to socialize, to find themselves, and to explore the world before going out into it. College has been defined as a ""safe place for young people to grow."" Some students don't know the value of work experience and how it can enhance the educational experience. At least one semester of work would benefit ALL students."
THA,PTJ,B1_1,MH,265,30,32,62,267,7,8,7,6,7,58.3,55.4,W_THA_024,M,19,2.0,Electrical Engineering,Sciences & Technology,ONET,65,30,B1_1,4.5,4.83,9.33,-0.33,3.5,4.0,4.38,4.67,3.56,4.25,5.25,4.0,3.25,4.0,4.0,4.0,4.0,"In college, students want to find something to do to have new experiences and money. There are many things to do and the best one is a part time job. It is good for students to have a part time job because it will make the students get more experiences, students will earn money, and they may have opportunities to get a job in future. First, it is good for students to have part time jobs because students will get more experiences. When students have to do their jobs, they will face many situations with consumers and their boss. They will have more patience and learn more about living with others in society. Second, students will earn more money while they are learning. Part time jobs make money for students too. Students will know the value of money and how hard they must work to find it. From this, they will know how to use money and they will have money if they have to use it. Finally, another reason why it is good for students to have a part time job is they might get more opportunities to work in the future. If students work, they will meet many people. In addition, if the agency finds that this student is good at working, they can remember their name and promise this student the job when they graduate. All in all, students might strongly believe that doing a part time job is necessary and important because a part time job can give more experiences, make money, and provide more opportunities for students in the future."
THA,PTJ,B1_1,MH,215,55,38,93,306,6,6,6,5,6,48.3,45.8,W_THA_025,F,20,3.0,Nursing,Life Sciences,ONET,38,30,B1_1,4.17,5.5,9.67,-1.33,4.0,4.88,4.63,4.89,4.44,4.5,5.0,4.75,4.75,6.0,6.0,6.0,6.0,"The students of college or university are teenagers. They are responsible for everything. After already studying, they have a part time job. Therefore, they should have an activity. Something may be bad or good but you know what? It is interesting, because it is experience. It is outside of your class. You learn something. A job is a good activity because you get strange experiences and you can make money. My opinion about part time jobs for students is that the government should support them very much because it is a good activity. They spend time in a good way and get many benefits like learning about social relationships, taking care of other people, knowing what other people want, trying to serve them happily, etc. It is a process of training students to be adults. They will learn from the managers and friends in the workplace. For example, if a customer complains about the company, how do they deal with it? Some customers may be unkind and ask for many things. It helps with how to keep patient and try to calm down. When trying to calm down, they must know solutions. Therefore, I think students, when they have a part time job, can be like adults learning how to work and deal with people."
THA,PTJ,A2_0,MH,293,72,51,123,211,3,3,3,2,3,23.3,22.1,W_THA_026,F,19,2.0,Tourism,Social Sciences,ONET,35,11,A2_0,3.17,3.17,6.34,0.0,4.5,3.25,3.5,3.11,3.89,3.25,3.5,3.0,3.75,4.0,4.0,3.0,4.0,"I think the important thing about working only part-time is students will have their work during free time. The only time to be used is there. They cannot take all of it to dedicate to work because most of the time it will be mainly studying. Today, part-time work enables students to lose great learning because students are divided into less time to learn to work. Sometimes they claim they are tired from working so they do not want to learn. There is no time to study if they work, but working part-time is not considered damaging. It is useful time as well. The practice itself is the experience itself. Part-time work is used in everyday life and is considered beneficial in helping alleviate their burden because their parents do not have to interfere with their money. When students have a personal problem or need for money, they do not have to ask their parents, and working part time is considered to allow us to recognize the value of money in that the money came hard. It will not come easy to exchange many things and sacrifice their own personal time in exchange for money. Also, we know that parents have money from hard work. Therefore, we have learned that we should help parents save their money and think about our obligation to send money. Let us learn as much as their love gave us. Finally, work is considered part-time by students, but is helpful to souls who share the correct time and select the appropriate work for their studies will not affect their courses and does not affect our health, and will not cause trouble if it can be a good thing in the lives of students."
THA,PTJ,B1_2,MH,231,32,21,53,207,8,6,7,6,7,56.7,54.6,W_THA_027,M,18,1.0,Electrical Engineering,Sciences & Technology,ONET,62.8,36,B1_2,4.67,4.5,9.17,0.17,3.0,3.63,3.63,4.44,2.67,4.0,4.5,3.0,3.0,5.0,4.0,4.0,4.0,"In college, there are lots of students talking about, thinking about, and working a part-time job. There are many kinds of work that college students like such as being a server, cashier, etc. Do you think it is necessary for college students? If you ask me about having a part-time job when you study in college, I can think of both sides, good and bad things. If you talk about the families that are not rich enough to spend money on studying in college, I think working part-time is important. When you study in college, you can only just learn and learn but if you don't have enough money for eating, living, or buying books, you must have a part-time job for this thing. In other words, if you have enough money for everything, I think a part-time job is unnecessary for you because when you work a part-time job you will not have much time for rest, reading books, or working on your homework. If you want to work a part-time job, you must manage your time for everything you have to do first. If you have much free time, you can work on a part-time job. When you manage everything clearly, I think part-time work will give you more experience for working and you will have more money for shopping."
THA,PTJ,B1_1,MH,282,41,36,77,251,7,7,7,7,8,60.0,55.8,W_THA_028,M,18,1.0,Engineering,Sciences & Technology,ONET,62.78,34,B1_1,4.17,3.67,7.84,0.5,4.0,3.75,3.5,4.0,3.33,3.75,3.5,3.5,3.75,4.0,3.0,4.0,4.0,"At present, the economy keeps on growing and that makes the cost of living also go up. The costs of studying in universities are rising as well. These costs include semester fees, registration for credits, transportation fees, meals, and so on. Some students who left their houses to study far away or in different provinces have to pay for renting rooms in apartments, which cost more than what the students who come back home every day pay. The burden of this goes on to their parents to earn more money, not only to feed their children but also to send their children to study higher education. A part-time job is one of the options that college students can choose to relieve the burdens of their parents. Thus, college students have to make the decision to choose a part-time job that is appropriate for their studying time because they have to study hard along with working. A part-time job that is related to their studies will be more advantageous for them, but sometimes those kinds of jobs are quite rare. Therefore, many college students do not have many choices to choose for work. Anyway, students have to get part-time jobs to earn money for taking care of themselves and save their parents' money. A part-time job for college students now has become very important for those who want to help their parents and earn experience while they are working. Sometimes the experiences they receive are worth enough for their futures. Although some college students are not in trouble with all the costs, they are eager to work to earn experience and get money to buy things they need."
THA,PTJ,B1_1,MH,271,70,53,123,261,7,6,7,5,6,51.7,50.0,W_THA_030,F,19,1.0,Biomedical Engineering,Life Sciences,ONET,57.14,31,B1_1,4.83,4.67,9.5,0.16,2.0,4.5,4.5,4.22,4.22,4.75,5.25,3.75,4.25,4.0,4.0,4.0,4.0,"If you ask me, ""Is it important for college students to have a part-time job?"" I will think that I cannot answer you directly because I'm someone who never had a part-time job. One thing that I can say is part-time jobs have two sides to them. On the positive side, it will give you experience in life. An example is when you have some problems, it will teach you what should you do to solve those problems, even if you might not like your job. Then, you will know if the kind of job that you took is your style or not. It that way, it teaches you how you can find a pleasing job in the future! On the negative side, you must study and work at the same time and that can cause you so many problems. Your grades may drop if you take yourself to the job too much, or problems with your studies can make you worry when you work, so you cannot work as well as you should. However, some people can manage it! They know how to use their time in their life, not only for a part-time job and studying but also for their friends, family, or maybe their boyfriend or girlfriend. Not everybody can do that, however, so you cannot say that having a part-time job when you're still studying is good. Thinking about this case is up to the person. You can say that it is good or bad but there is no true answer. The answer is something that you must find out yourself."
THA,PTJ,A2_0,MH,211,30,29,59,259,7,6,7,5,7,53.3,50.4,W_THA_032,M,23,4.0,Business,Social Sciences,ONET,50,23,A2_0,5.0,4.33,9.33,0.67,3.0,2.25,1.75,2.89,1.33,2.5,2.0,1.75,1.75,5.0,3.0,2.0,1.0,"Yes, I do agree, if students need to do part time work after school. Right now the economy in Thailand isn't good at all, and many people get laid off from their jobs and it is also hard to find a job even if you're a bachelor's degree student. A job at McDonald's or some restaurants doesn't make a lot of money but at least you can get experiences, which are more valuable than money. If you compare a student who has been working and has experience to another student who hasn't been working nor has any experience, I think the one who worked will have more opportunities. It's also helpful to his or her family. Using their time wisely and not wasting time by getting a job is much better. Many students get a better life from doing part time work after school. We should not wait for help from others. We must help ourselves first, and then we will be strong and ready to fight any difficult thing after graduating from university. Parents won't worry about us and they will watch over our steps to becoming successful in the future on our own. I want to see Thai students survive by themselves not just wait for their parents help."
THA,PTJ,B1_1,MH,279,47,30,77,222,7,8,7,5,6,55.0,53.3,W_THA_033,M,19,1.0,Production Engineering,Sciences & Technology,ONET,53,31,B1_1,3.5,4.67,8.17,-1.17,3.5,4.38,4.38,4.89,3.67,4.5,5.0,3.5,4.5,4.0,4.0,4.0,4.0,"It is important for college students to have a part-time job? Are you one of the students who have a part-time job? What do you think about it? Nowadays, there are a lot of college students who have a part-time job. Some people question its importance for students. In my opinion, three major benefits of college students having a part-time job are getting work experience, saving parents' money, and using free time usefully. First, a part-time job is a way to internship. This is an important factor because in the future, when they graduate, the students must get work. If they had a part-time job before, they would do better than others would because they have more experience than others do. Experience is one of the most important factors that are necessary in a person's life. Saving parents' money is the second benefit of a part-time job. With the money that they get at a part-time job, students do not have to use their parent's money. They can help their parents reduce expenses and they can save money to use in the future. Third, nowadays most students use their free time to play games and use the internet, listen to music, etc. That is useless, but if they had a part-time job, they will use free time usefully. In conclusion, a part-time job has three benefits: it trains students for work in the future, the student can save their parents' money because they have an income, and they will change their useless free time into useful time. If Thai students can do these, how many benefits will Thailand get?"
THA,SMK,B1_2,MH,304,48,39,87,285,5,5,6,5,7,46.7,42.1,W_THA_001,F,18,1.0,Mechanical Engineering,Sciences & Technology,ONET,55,39,B1_2,3.83,4.33,8.16,-0.5,3.0,4.0,3.25,4.44,2.67,4.0,3.75,2.5,4.25,4.0,4.0,5.0,4.0,"In my opinion, to smoke is absolutely a bad thing to do. For me, among the members of my family we have no one who is a smoker. My father always tells us that it is bad and I really trust him. Do you think that drugs are good? Of course not. In the case of something such as tea or coffee, which are drugs too, they don't destroy our health as much as smoking. I don't think that it's a good idea. Some people say that although they are relaxed, their bodies are being destroyed by the thing that they think is good for them. I think if somebody is serious, exercising might help them more than smoking. Do you think that too? For an easy example, if you are very hungry, and there is a poison apple and ingredients for apple pie in front of you, what would you choose? The clever people will choose the ingredients for apple pie, right? Although it might take time to bake a pie and you want to eat an apple, you know that if you eat a poison apple, you will die after you get full. Thus, you must choose the slower but better one. In addition, between exercising or playing sports and smoking, the stupid people always choose the faster one. They do not care about results, they know just that they are very hungry and they want to eat an apple right now. Trust me, in the future, they will feel sorry about what they've done. Lastly, I know that everybody has their own rights, so I can't forbid anyone from smoking, but hopefully they will learn someday that a poison apple is not good for them and that there are many people who love them and don't want them to destroy themselves."
THA,SMK,B1_2,MH,266,62,38,100,203,1,2,2,1,3,15.0,12.1,W_THA_002,F,19,2.0,Policy,Social Sciences,ONET,51,43,B1_2,5.5,5.33,10.83,0.17,3.0,3.88,3.0,3.44,3.33,3.5,3.5,3.5,3.25,6.0,6.0,6.0,6.0,"I agree with banning smoking at all restaurants. Youths are at risk of smoking addictions and the risks tend to be much higher each year. When they smoke cigarettes, they then stick to it until they die. It is not easy to quit, so young people should learn and realize the danger of smoking and help to solve the problem by themselves by maybe beginning to learn before, such as about the harm of smoking. Maybe they can learn from books, media, the Internet, or asking teachers as well as those who have knowledge of using leisure time usefully. Probably like playing sports like football, table tennis, or a running style that would generate such a beneficial use of leisure time and still have good health and also relaxing results. Without having to rely on cigarettes, they can play music, sing, dance, and play Extra, which have the benefit of using free time then. Also, the practice of musical expression can also train the heart. The challenge of arts and crafts activities such as drawing, sculpting, or using hundreds of beads is like meditation and you create value by yourself. In addition, young people know problems rationally with no tobacco dependence. They know their roles and responsibilities with the intention of fighting fees. They obey the teachings of parents and business teachers and behavior, but do good. The cheerful spirit of challenge with the principles of religion is a way of Florida life. Apart from self-help, we can also help friends and others in society with a joint campaign to reduce smoking and help quitting."
THA,SMK,A2_0,MH,213,34,21,55,203,8,8,7,7,6,60.0,59.2,W_THA_003,M,18,1.0,Mechanical Engineering,Sciences & Technology,ONET,50.43,22,A2_0,4.5,5.17,9.67,-0.67,5.5,4.25,4.5,4.78,4.22,4.0,5.0,4.25,4.25,5.0,3.0,5.0,3.0,"Nowadays, many teenagers want to smoke. They think smoking makes them feel good and look good. Somehow, they think that it makes them feel more relaxed but they don't know about the bad results of smoking. It increases their chance of lung diseases and heart failure. Watching the video in class this evening opened my eyes a little bit more because tobacco contains about 4,000 chemicals, including 200 known poisons. Every time someone smokes, poisons such as benzene, formaldehyde, and carbon monoxide are released into the air. Those are among the most important. In fact, some of my friends like to smoke, though most don't. Non-smokers will probably tend to hang around more with non-smokers than with smokers, while smokers usually don't care. Smokers need lots of money because smoking is expensive and keeps getting more expensive. Not only does smoking create bad results for smokers but also the bad results affect nearby persons and they get vexed. The last reason is that there are many consequences to smoking like bad health, addiction, cessation, and economic costs. Second hand smoke is a major problem, since smoking is allowed in a lot of public places. Second hand smoke has fifty cancer causing chemicals. Thus, I agree with banning smoking in all areas."
THA,SMK,B1_2,MH,198,55,44,99,207,4,3,4,3,3,28.3,27.9,W_THA_004,M,19,1.0,Production Engineering,Sciences & Technology,ONET,60,39,B1_2,4.67,3.0,7.67,1.67,2.0,4.0,2.5,3.22,3.0,3.25,3.0,2.75,4.0,2.0,3.0,3.0,4.0,"Today, human beings have more things to get addicted to. Some things are good and others are bad, but bad things are also attractive by peer pressure, such as alcohol, weed, cigarettes, etc. The easiest thing that you can take any place and any time that comforts you is a cigarette. When you walk on the street, you can find a person who is smoking along the way. You would see at least one person because smoking is not prohibited. I will give you an example of a place that has smoking: restaurants, places that have every generation of human come in it. Actually, people who come to these places come in with family on holidays. What do you think when your family comes to a restaurant and finds that this restaurant allows smoking. Is this still a holiday? Smoking is killing your mood when eating and talking with your family. However, this is not as important as that it kills your family when they breathe smoke. In my opinion, the government must approve the laws that prohibit smoking in public. It could be best if the first places that the laws concern are restaurants, parks, and universities."
THA,SMK,B1_2,MH,216,56,39,95,216,6,6,6,5,6,48.3,45.8,W_THA_005,F,19,2.0,Electrical Engineering,Sciences & Technology,ONET,50,39,B1_2,4.83,5.5,10.33,-0.67,4.0,3.63,3.88,4.22,3.33,4.5,4.25,3.25,3.0,6.0,5.0,6.0,5.0,"Smoking should be completely banned at all the restaurants in the country. I agree with this topic in that smoking at all the restaurants should be banned. Smoking in public place should be banned too. For example, at parks, bus stops, universities, hotels, etc., because smoking makes many problems for the population. The restaurants have many people. Smoke is smelly, and when smokers smoke at restaurants, it disturbs other people. Furthermore, it becomes air-pollution. Smokers should not smoke at restaurants or public places. No one likes smoke so that smoker must have manners with other people. Some restaurants or public places have a smoking place, so smokers must smoke at this place. People can ban smokers who don't have manners because smoke can give the lungs cancer and smokers should take care of other people. Moreover, smoking can make danger at restaurants because restaurants have many gases, and when a smoker is smoking a spark of fire can make danger. Banning it can decrease smokers because smokers cannot smoke in public places. It makes them feel it is hard to smoke. If people do not ban bad smokers in the future, smoking may increase and it can become a simple behavior for smokers. Therefore, if smokers don't have manners, other people should completely ban them."
THA,SMK,B1_2,MH,222,24,16,40,213,9,8,9,8,10,73.3,68.3,W_THA_006,F,18,1.0,English,Humanities,ONET,50,43,B1_2,4.83,4.83,9.66,0.0,4.5,4.5,4.88,5.0,4.33,4.75,4.75,4.75,4.5,5.0,4.0,5.0,5.0,"Smoking is a bad habit that is dangerous for your health and people close by. People start smoking for a variety of different reasons. Some think it looks cool. Others start because their family members or friends smoke. Most adults who started smoking in their teens never expected to become addicted. I strongly disagree with smoking. Almost everyone knows that smoking causes cancer or heart disease and that it can shorten your life. Smoking is a hard habit to break because of the drugs in cigarettes. The problems are that it might turn teeth, nails, and toenails yellow and give people bad breath. People around smokers will be uncomfortable because of the smell and the smoke of the cigarettes. Personally, I think the government or any who are concerned should try to stop people from smoking, especially in public areas such as restaurants, parks, and malls. Many young people begin smoking as an act of rebellion and independence. Young smokers start smoking at the age of 12 or 13 just to get a taste of what it is like. Some of them find it disgusting and unhealthy and some of them find it cool. You can see smoking is bad for your health. Your health requires pure oxygen in life, so you must stop smoking and do something before it's too late."
THA,SMK,B1_2,MH,205,54,46,100,216,7,7,6,6,8,56.7,52.5,W_THA_007,M,19,1.0,Production Engineering,Sciences & Technology,ONET,51,38,B1_2,4.17,3.83,8.0,0.34,1.5,3.13,3.13,3.67,2.22,4.25,4.0,1.5,2.75,3.0,4.0,5.0,5.0,"Recently, more Thai people are becoming smokers than in the past, so there is a polluted atmosphere everywhere. That is the worst thing for traditional teenagers. Smoking is a cause of cancer and harms the smoker and people around them. There are many disadvantages about smoking cigarettes. For example bad smell, black teeth and gums, and addiction. In my opinion smoking should be completely banned at all restaurants, and not only restaurants but also schools, hospitals, parks, or public places. Although, in my opinion, this is the best way to make a good environment and save smokers' health and others around them while having a meal in a restaurant, it is also bad for the smokers, so we should have some area or place for smoking like the smoking areas in the airport. Because not all people are smokers, I think the owner of the restaurants should declare an area for smoking or make specific types of restaurants for their customers. I think smoking is bad for you and your family. No smoking is the best thing to do. For the smokers, when you want to smoke, maybe think about the others around yourself and mind your manners so no one will argue with you."
THA,SMK,A2_0,MH,216,49,24,73,257,5,6,5,5,8,48.3,42.5,W_THA_008,F,19,2.0,Tourism,Social Sciences,ONET,60,16,A2_0,3.5,2.33,5.83,1.17,3.5,3.5,3.0,3.22,3.33,3.25,3.0,3.75,3.0,4.0,3.0,3.0,2.0,"I do not agree with the restaurants that allow smoking in their areas because it is very dangerous and harmful for both people who are smoking and the people around them, especially teenagers who may take up the habit and adolescents who are curious and would try to stop. Most teenagers do not like smoking in restaurants with children and the aged, so a check is made very inappropriate because it is highly toxic to other people. Teenagers like to smoke a lot, in canteens too. Especially male students like to smoke everywhere, in canteens, in front of schools, food shops or in restaurants. They think they are cool and very handsome and girls will fall for them but this is not the case. A girl who likes a boy who smokes will be sorry in the future because she is putting her life in danger and risking getting cancer with that boy. She doesn't smoke but she smells it every time so someday she may get hurt from smoking before him because there is no protection from smoke. If the restaurants agree to not allow people to smoke, they can save many people's lives because people are saved from danger. We should ban smoking everywhere, not only in restaurants. The police should catch them, too."
